NoBuktiTgl         Customer          Penjualan               COGS
FA-027603/15/1999  PT DEF              9530873            8743920
FA-027703/15/1999  PT XYZ             22084138           20076489
FA-027803/17/1999  PT BBB             16586341           14942649
FA-027903/18/1999  PT ZZZ             12186996           10690347
FA-028003/20/1999  PT ZZZ             37297290           34217697
FA-028103/22/1999  PT DEF             23355971           22243781
FA-028203/23/1999  PT AAA              7534941            6976797
FA-028303/23/1999  PT BBB             27600443           26286136
FA-028403/25/1999  PT XYZ             29003267           27361572
FA-028503/25/1999  PT ZZZ             12574428           11030200
FA-028603/26/1999  PT AAA             23974825           22198912
FA-028703/27/1999  PT XYZ             29757818           25876363
FA-028803/28/1999  PT BBB             22128520           20489370
FA-028903/28/1999  PT XYZ             16049792           14459272
FA-029003/30/1999  PT ABC             20245744           17604994
FA-029103/30/1999  PT BBB             28038772           25489792
FA-029203/30/1999  PT AAA             22991623           21690210
FA-029304/01/1999  PT BBB             24815207           21960360
FA-029404/02/1999  PT XYZ             14621762           13172758
FA-029504/02/1999  PT XYZ             25605013           23929918
FA-029604/02/1999  PT BBB             13611203           12720750
FA-029704/02/1999  PT BBB             18044423           17023040
FA-029804/04/1999  PT ZZZ             15560981           14680170
FA-029904/04/1999  PT XYZ             16155513           15386202
FA-030004/04/1999  PT ZZZ             14955990           14243800
FA-030104/04/1999  PT DEF             23747984           22403758
FA-030204/05/1999  PT DEF              8333952            7508064
FA-030304/05/1999  PT DEF             11686687           11130178
FA-030404/05/1999  PT DEF             12600127           11886912
FA-030504/05/1999  PT DEF             16046662           16715272
FA-030604/06/1999  PT BBB             17371527           16865560
FA-030704/06/1999  PT BBB             21287102           21502123
FA-030804/08/1999  PT BBB             16930495           17101510
FA-030904/08/1999  PT ZZZ              6263652            5853880
FA-031004/09/1999  PT DEF             20616396           19449430
FA-031104/11/1999  PT ZZZ             30284976           29691152
FA-031204/12/1999  PT BBB             30188023           29308760
FA-031304/14/1999  PT ZZZ             10022933           10124174
FA-031404/15/1999  PT AAA             22412260           21550250
FA-031504/15/1999  PT AAA             27684124           26619350
FA-031604/17/1999  PT XYZ             17429120           16442566
FA-031704/18/1999  PT BBB             18978228           18790324
FA-031804/19/1999  PT ABC             27351840           28491500
FA-031904/20/1999  PT ABC             21107957           20102816
FA-032004/21/1999  PT ABC             13735556           14458480
FA-032104/22/1999  PT AAA             11815572           10940344
FA-032204/22/1999  PT BBB             14107008           13830400
FA-032304/22/1999  PT ABC             37766974           36314398
FA-032404/24/1999  PT ABC             29615980           28753378
FA-032504/26/1999  PT AAA             21603403           21179806
FA-032604/27/1999  PT ABC             13590826           13606234
FA-032704/27/1999  PT ABC              5578249            6032662
FA-032804/27/1999  PT DEF             10581935           11022848
FA-032904/27/1999  PT BBB             14871741           14724496
FA-033004/29/1999  PT AAA             24875129           26184346
FA-033105/01/1999  PT XYZ             21855243           20425460
FA-033205/02/1999  PT ABC             14925066           13948659
FA-033305/02/1999  PT ABC             15799451           15643020
FA-033405/02/1999  PT AAA             15143266           14286100
FA-033505/03/1999  PT ABC             16912865           15955533
FA-033605/03/1999  PT ZZZ             34053090           31530638
FA-033705/03/1999  PT ABC             17581400           17069320
FA-033805/04/1999  PT ZZZ              7990653            7683320
FA-033905/05/1999  PT BBB             23995427           23524928
FA-034005/05/1999  PT XYZ             17561862           17920267
FA-034105/06/1999  PT ABC             11128297           12315606
FA-034205/06/1999  PT ZZZ             12292136           11934112
FA-034305/07/1999  PT ABC             19743560           18803390
FA-034405/08/1999  PT DEF             17400724           17576488
FA-034505/09/1999  PT ABC             12363437           12488320
FA-034605/10/1999  PT BBB             11884932           11212200
FA-034705/10/1999  PT ABC             12593263           11660428
FA-034805/10/1999  PT DEF             33429764           31242770
FA-034905/11/1999  PT BBB             26938711           26154088
FA-035005/11/1999  PT AAA             32055704           31427160
FA-035105/11/1999  PT AAA             37518533           37229358
FA-035205/11/1999  PT ZZZ             40115807           37491408
FA-035305/13/1999  PT BBB             34083828           33944384
FA-035405/14/1999  PT AAA             35972676           36134016
FA-035505/15/1999  PT DEF             25200287           25048822
FA-035605/16/1999  PT AAA             11903796           11229996
FA-035705/18/1999  PT XYZ             20992338           20380910
FA-035805/19/1999  PT BBB             22907057           21816244
FA-035905/19/1999  PT DEF             14062698           14349691
FA-036005/20/1999  PT XYZ             46930555           47000560
FA-036105/20/1999  PT BBB             38333736           38417915
FA-036205/20/1999  PT AAA             42634324           40221060
FA-036305/21/1999  PT ABC             38947051           39741888
FA-036405/23/1999  PT ZZZ             11554330           11911680
FA-036505/25/1999  PT XYZ             34145408           34064125
FA-036605/26/1999  PT AAA             19695326           19500322
FA-036705/28/1999  PT DEF             23489530           23231046
FA-036805/30/1999  PT XYZ             29323617           28469531
FA-036905/30/1999  PT ABC             39897370           41559760
FA-037006/01/1999  PT DEF             50471123           49649989
FA-037106/01/1999  PT BBB             31628175           31315024
FA-037206/01/1999  PT BBB             42505853           41637740
FA-037306/01/1999  PT BBB             47227867           46545694
FA-037406/01/1999  PT BBB             37570517           36885955
FA-037506/03/1999  PT ZZZ             27913167           27226216
FA-037606/05/1999  PT ABC             18255817           17566477
FA-037706/05/1999  PT DEF             20598467           19906738
FA-037806/06/1999  PT ZZZ             22941117           22246999
FA-037906/08/1999  PT ABC             25283767           24587260
FA-038006/08/1999  PT ABC             27626417           26927521
FA-038106/08/1999  PT BBB             29969067           29267782
FA-038206/10/1999  PT ABC             32311717           31608043
FA-038306/11/1999  PT ZZZ             34654367           33948304
FA-038406/12/1999  PT ZZZ             36997017           36288565
FA-038506/12/1999  PT AAA             39339667           38628826
FA-038606/12/1999  PT ZZZ             41682317           40969087
FA-038706/14/1999  PT XYZ             48031393           46309348
FA-038806/16/1999  PT BBB             42188004           41649609
FA-038906/17/1999  PT AAA             36344615           35613919
FA-039006/19/1999  PT AAA             30501226           30123699
FA-039106/19/1999  PT DEF             24657837           23933479
FA-039206/21/1999  PT ABC             18814448           18800000
FA-039306/22/1999  PT DEF             12971059           12900000
FA-039406/24/1999  PT AAA             21874362           21633040
FA-039506/25/1999  PT ZZZ             48937478           48593728
FA-039606/26/1999  PT AAA             43289846           43323076
FA-039706/27/1999  PT BBB             45870497           45590949
FA-039806/29/1999  PT XYZ             44763071           43064664
FA-039907/01/1999  PT XYZ             34829040           32550504
FA-040007/02/1999  PT BBB             31974693           31763118
FA-040107/03/1999  PT DEF             14408167           13592610
FA-040207/04/1999  PT DEF             12060101           11064312
FA-040307/05/1999  PT BBB             34122203           31594632
FA-040407/07/1999  PT BBB              2875692            2738754
FA-040507/07/1999  PT DEF             30961759           29209206
FA-040607/08/1999  PT DEF             22640265           20035632
FA-040707/09/1999  PT BBB             13797789           12543444
FA-040807/09/1999  PT XYZ             28527300           26414166
FA-040907/11/1999  PT AAA             21207526           20007100
FA-041007/11/1999  PT ABC              6968254            6166596
FA-041107/13/1999  PT AAA             20753626           18696960
FA-041207/15/1999  PT BBB             16693688           15898750
FA-041307/15/1999  PT BBB             31382852           27772435
FA-041407/17/1999  PT ABC             18284448           16325400
FA-041507/18/1999  PT ABC              1263231            1098461
FA-041607/20/1999  PT XYZ             29324680           26658800
FA-041707/21/1999  PT DEF             36891981           33538164
FA-041807/23/1999  PT XYZ              9479352            8539956
FA-041907/25/1999  PT ABC             24072792           21116484
FA-042007/25/1999  PT ZZZ              7036876            6172698
FA-042107/26/1999  PT ZZZ              4710555            4486242
FA-042207/28/1999  PT XYZ             11535502           10299555
FA-042307/28/1999  PT AAA              7045185            6126247
FA-042407/29/1999  PT ABC              3506961            3277533
FA-042507/31/1999  PT ZZZ             12030876           10937160
FA-042608/02/1999  PT DEF              5699418            4956015
FA-042708/02/1999  PT BBB             24588896           21381648
FA-042808/04/1999  PT DEF              7460162            7037888
FA-042908/04/1999  PT BBB             17244015           15966680
FA-043008/05/1999  PT ZZZ               458538             416852
FA-043108/05/1999  PT XYZ              8681242            8113310
FA-043208/06/1999  PT XYZ              1785398            1668596
FA-043308/07/1999  PT AAA             12901665           11317250
FA-043408/08/1999  PT BBB              4705647            4127760
FA-043508/09/1999  PT AAA              4765314            4254744
FA-043608/11/1999  PT BBB              4543129            4168008
FA-043708/12/1999  PT XYZ             14105768           13182960
FA-043808/14/1999  PT ZZZ             37299963           33909057
FA-043908/15/1999  PT DEF              6669690            6063354
FA-044008/15/1999  PT DEF             19375815           16848534
FA-044108/17/1999  PT ABC             18168740           17140320
FA-044208/17/1999  PT DEF             11859486           10312596
FA-044308/19/1999  PT ZZZ              3627924            3210552
FA-044408/20/1999  PT ABC              5189131            4760670
FA-044508/22/1999  PT AAA             17346857           16364959
FA-044608/24/1999  PT BBB             11232057           10118970
FA-044708/26/1999  PT XYZ             14629613           13299648
FA-044808/27/1999  PT XYZ              4626637            4023162
FA-044908/29/1999  PT AAA             50861913           47094363
FA-045008/31/1999  PT BBB              6140731            5434275
FA-045109/02/1999  PT XYZ             21295160           20089773
FA-045209/03/1999  PT XYZ              2373670            2082160
FA-045309/05/1999  PT ZZZ             51974798           45195476
FA-045409/06/1999  PT BBB              3036459            2760417
FA-045509/08/1999  PT DEF             14453900           12568608
FA-045609/09/1999  PT DEF              4921686            4643100
FA-045709/11/1999  PT BBB              6432801            6126477
FA-045809/13/1999  PT ZZZ              7943916            7609854
FA-045909/15/1999  PT BBB             26541831           25039463
FA-046009/15/1999  PT BBB             35947128           32384800
FA-046109/16/1999  PT XYZ             14656397           13446235
FA-046209/17/1999  PT AAA              1850449            1682226
FA-046309/18/1999  PT BBB              8713039            7579314
FA-046409/19/1999  PT BBB              2696978            2386706
FA-046509/19/1999  PT BBB              7434321            6947963
FA-046609/19/1999  PT AAA             14717585           13754752
FA-046709/21/1999  PT BBB              4850136            4575600
FA-046809/22/1999  PT AAA              7380563            6649155
FA-046909/24/1999  PT AAA              2279869            2150819
FA-047009/25/1999  PT XYZ             22053383           19690520
FA-047109/27/1999  PT BBB             25183091           23289644
FA-047209/28/1999  PT ZZZ              4914421            4592916
FA-047309/30/1999  PT BBB              3611272            3224350
FA-047410/02/1999  PT BBB              5949206            5359645
FA-047510/04/1999  PT ABC              6435721            6014692
FA-047610/06/1999  PT ZZZ             17762922           11532975
FA-047710/07/1999  PT BBB              5080874            4456907
FA-047810/07/1999  PT XYZ              8156967            7155234
FA-047910/09/1999  PT BBB             19163134           16038512
FA-048010/11/1999  PT BBB             19902488           18478560
FA-048110/11/1999  PT AAA             13449240           12008250
FA-048210/13/1999  PT ABC              2435585            2194220
FA-048310/14/1999  PT AAA             11935287           10469550
FA-048410/14/1999  PT BBB              4714148            4489664
FA-048510/14/1999  PT ZZZ             13379048           10874150
FA-048610/14/1999  PT BBB              3329648            2999682
FA-048710/15/1999  PT BBB             17465617           13883145
FA-048810/16/1999  PT ZZZ              6298106            5886080
FA-048910/18/1999  PT BBB             12053472           11371200
FA-049010/20/1999  PT DEF             17748975           14775870
FA-049110/22/1999  PT XYZ              8806774            7725240
FA-049210/24/1999  PT BBB             20523143           19545850
FA-049310/25/1999  PT AAA             20053204           18741312
FA-049410/27/1999  PT AAA              8843356            8113170
FA-049510/29/1999  PT XYZ             11571639           10916640
FA-049610/29/1999  PT BBB             18099405           15779270
FA-049710/29/1999  PT AAA             12166161           11060146
FA-049810/30/1999  PT ABC             11386520           10166535
FA-049910/31/1999  PT AAA              7712219            7011108
FA-050010/31/1999  PT BBB             17733643           16729851
FA-050111/02/1999  PT ABC             27151683           24028038
FA-050211/02/1999  PT DEF             29541778           28135026
FA-050311/03/1999  PT ABC             12627606           11912835
FA-050411/04/1999  PT ZZZ             20700124           19528418
FA-050511/04/1999  PT BBB             15366472           13720064
FA-050611/06/1999  PT ABC             37681347           32766388
FA-050711/06/1999  PT BBB             45544985           42565406
FA-050811/08/1999  PT ZZZ              2025441            1858202
FA-050911/10/1999  PT DEF             43171296           39606693
FA-051011/12/1999  PT XYZ             19661057           17096571
FA-051111/14/1999  PT ABC             11186804           11109162
FA-051211/14/1999  PT DEF             11533633           11407002
FA-051311/16/1999  PT ZZZ             34215172           32278464
FA-051411/18/1999  PT ZZZ             21000000           20000000
FA-051511/18/1999  PT AAA             14284731           13868670
FA-051611/18/1999  PT ABC             11012654           10123892
FA-051711/19/1999  PT ZZZ              9537858            9448880
FA-051811/19/1999  PT BBB             23050978           22330745
FA-051911/19/1999  PT AAA             11882381           10901394
FA-052011/19/1999  PT DEF             19124578           19004768
FA-052111/19/1999  PT ZZZ             22544174           22241416
FA-052211/20/1999  PT ABC             11726761           11519565
FA-052311/20/1999  PT BBB             26039835           24799842
FA-052411/20/1999  PT DEF             25291200           25111600
FA-052511/21/1999  PT DEF             15260835           15032819
FA-052611/21/1999  PT BBB             33019821           33012575
FA-052711/21/1999  PT DEF             50100000           50000000
FA-052811/23/1999  PT AAA             60043591           59449100
FA-052911/24/1999  PT AAA             58083080           57508000
FA-053011/24/1999  PT ZZZ             33133252           32805200
FA-053111/24/1999  PT ABC             14104246           13964600
FA-053211/25/1999  PT ABC             20154348           19954800
FA-053311/27/1999  PT ABC             25683997           25429700
FA-053411/28/1999  PT XYZ             27758787           26508700
FA-053511/29/1999  PT ZZZ             15455323           15302300
FA-053611/29/1999  PT ABC             24784794           24539400
FA-053711/29/1999  PT XYZ             63095306           62470600
FA-053811/30/1999  PT AAA             73431999           72209900
FA-053912/02/1999  PT DEF             28647741           28364100
FA-054012/02/1999  PT ZZZ             52101202           51100200
FA-054112/04/1999  PT ABC             25000000           24600000
FA-054212/04/1999  PT ZZZ             28210714           27931400
FA-054312/06/1999  PT AAA             37162112           37091200
FA-054412/08/1999  PT AAA             39972466           38586600
FA-054512/09/1999  PT XYZ             67387099           66719900
FA-054612/09/1999  PT XYZ             16133894           16032880
FA-054712/09/1999  PT BBB             47942976           46815600
FA-054812/10/1999  PT XYZ             54609000           54500000
FA-054912/12/1999  PT BBB             55110000           55000000
FA-055012/13/1999  PT BBB             55611000           55200000
FA-055112/13/1999  PT BBB             56112000           55500000
FA-055212/13/1999  PT DEF             56613000           56200000
FA-055312/13/1999  PT ABC             44659352           44567992
FA-055412/15/1999  PT BBB             36534024           36102200
FA-055512/15/1999  PT DEF             28408696           27636408
FA-055612/16/1999  PT AAA             20283368           19970616
FA-055712/16/1999  PT AAA             51635763           50157336
FA-055812/16/1999  PT DEF             60621000           60500000
FA-055912/17/1999  PT BBB             44221004           43743813
FA-056012/18/1999  PT BBB             44612090           42364794
FA-056112/20/1999  PT DEF             37240899           37085912
FA-056212/21/1999  PT AAA             38536146           37641818
FA-056312/23/1999  PT AAA             49372891           47863428
FA-056412/23/1999  PT ABC             43532159           43095998
FA-056512/25/1999  PT BBB             42421453           42003712
FA-056612/25/1999  PT ZZZ             37672493           37157760
FA-056712/27/1999  PT BBB             31549647           30525409
FA-056812/28/1999  PT ZZZ             21505899           20878615
FA-056912/29/1999  PT AAA             56107897           55007742
FA-057012/29/1999  PT ZZZ             46321002           46016496
FA-057112/29/1999  PT ABC             34173549           33240375
FA-057212/29/1999  PT BBB             41090403           40361240
FA-057312/31/1999  PT ZZZ             27704921           26984768
FA-057401/01/2000  PT BBB             28492558           28310503
FA-057501/01/2000  PT XYZ             11560117           11041788
FA-057601/03/2000  PT AAA              5100535            4922717
FA-057701/04/2000  PT BBB              5970158            5878520
FA-057801/06/2000  PT BBB              1196213            1149309
FA-057901/08/2000  PT BBB             15097033           14478734
FA-058001/10/2000  PT AAA             35709038           32170304
FA-058101/12/2000  PT BBB              7916598            6944384
FA-058201/12/2000  PT ZZZ             15204737           13822488
FA-058301/14/2000  PT ZZZ             28807218           25952448
FA-058401/16/2000  PT AAA             53547843           46971792
FA-058501/17/2000  PT XYZ             16536298           14633892
FA-058601/19/2000  PT ZZZ              5618465            5061680
FA-058701/21/2000  PT ZZZ             14318938           13136640
FA-058801/23/2000  PT AAA             10151912            9313680
FA-058901/24/2000  PT ZZZ             33208347           30189406
FA-059001/25/2000  PT BBB              2786180            2579796
FA-059101/26/2000  PT ZZZ             11275046           10344078
FA-059201/28/2000  PT ZZZ             53912909           49461384
FA-059301/28/2000  PT BBB             43421415           38769120
FA-059401/30/2000  PT AAA             11115495            9924549
FA-059501/31/2000  PT XYZ             16033765           13942404
FA-059602/02/2000  PT BBB              3405811            3013992
FA-059702/03/2000  PT BBB             29875971           26206992
FA-059802/03/2000  PT ABC              7503570            6947750
FA-059902/04/2000  PT BBB             10624654            9571760
FA-060002/04/2000  PT BBB              6360661            5782419
FA-060102/05/2000  PT BBB             16816575           15570902
FA-060202/05/2000  PT DEF             25342173           23249700
FA-060302/07/2000  PT BBB             51191971           46118892
FA-060402/09/2000  PT DEF              5002412            4506677
FA-060502/11/2000  PT ABC             13294947           12310136
FA-060602/13/2000  PT AAA             17400449           15536115
FA-060702/14/2000  PT ABC              8346780            7587981
FA-060802/16/2000  PT BBB             28768569           26153244
FA-060902/16/2000  PT BBB             20309228           18632319
FA-061002/17/2000  PT BBB              8359473            7740252
FA-061102/17/2000  PT AAA             12280092           11163720
FA-061202/17/2000  PT DEF             42605528           38732298
FA-061302/17/2000  PT BBB             50705865           46949875
FA-061402/18/2000  PT BBB             39562852           34402480
FA-061502/18/2000  PT BBB             19535776           17136645
FA-061602/18/2000  PT BBB              7207085            6551895
FA-061702/18/2000  PT ABC             16878415           14676882
FA-061802/19/2000  PT BBB             11945088           10761340
FA-061902/20/2000  PT XYZ             20259132           18417392
FA-062002/20/2000  PT DEF              9302058            8380232
FA-062102/22/2000  PT BBB              5785930            5259936
FA-062202/23/2000  PT ZZZ             17489190           16193694
FA-062302/23/2000  PT XYZ             15602362           13807400
FA-062402/25/2000  PT BBB             31802866           28911696
FA-062502/25/2000  PT DEF              4041583            3545248
FA-062602/25/2000  PT ABC             15545439           14393925
FA-062702/25/2000  PT BBB             22359666           20326969
FA-062802/27/2000  PT BBB             14654583           12743115
FA-062902/28/2000  PT BBB             20096865           18608208
FA-063002/29/2000  PT DEF               624468             543015
FA-063102/29/2000  PT DEF              2226421            2005784
FA-063203/01/2000  PT ABC             19988461           18171328
FA-063303/03/2000  PT ZZZ              5369123            4793859
FA-063403/03/2000  PT XYZ              7314539            6589674
FA-063503/03/2000  PT DEF               579649             536712
FA-063603/05/2000  PT BBB              2931139            2617088
FA-063703/06/2000  PT BBB              2347571            2173676
FA-063803/08/2000  PT DEF             27286865           23727708
FA-063903/08/2000  PT AAA             11367782           10059984
FA-064003/09/2000  PT BBB             38735374           35537040
FA-064103/09/2000  PT BBB               908062             833084
FA-064203/11/2000  PT ABC              4727339            4110729
FA-064303/13/2000  PT BBB             13836188           12244414
FA-064403/15/2000  PT BBB             46765505           41754915
FA-064503/15/2000  PT XYZ             10433511            9072618
FA-064603/16/2000  PT BBB             14304595           13244995
FA-064703/16/2000  PT BBB             29116369           25318581
FA-064803/16/2000  PT ZZZ             29668521           26255328
FA-064903/18/2000  PT BBB              9146180            8093964
FA-065003/19/2000  PT AAA             46244313           40924170
FA-065103/21/2000  PT BBB              7290036            6567600
FA-065203/22/2000  PT DEF             16279667           14799697
FA-065303/22/2000  PT BBB             10265036            9417464
FA-065403/23/2000  PT DEF              6928065            6414875
FA-065503/24/2000  PT BBB             24410469           21412692
FA-065603/26/2000  PT AAA              1528184            1414985
FA-065703/28/2000  PT DEF              6194740            5433982
FA-065803/30/2000  PT AAA              1018127             934061
FA-065904/01/2000  PT ZZZ             11989859           10801674
FA-066004/02/2000  PT XYZ              9517129            8275764
FA-066104/02/2000  PT AAA             27756344           25233040
FA-066204/04/2000  PT BBB             45916839           41366521
FA-066304/05/2000  PT BBB             14237044           12711646
FA-066404/07/2000  PT DEF             57147662           50573152
FA-066504/09/2000  PT DEF               583040             539851
FA-066604/09/2000  PT BBB             17792804           15607722
FA-066704/10/2000  PT BBB              9240157            8477208
FA-066804/10/2000  PT DEF              7274837            6613488
FA-066904/11/2000  PT ZZZ             34378597           29894432
FA-067004/12/2000  PT DEF              9885132            8826010
FA-067104/12/2000  PT BBB             16737721           14554540
FA-067204/13/2000  PT DEF             10205413            8952116
FA-067304/14/2000  PT ABC             39612952           36011774
FA-067404/16/2000  PT BBB             53777260           49336935
FA-067504/18/2000  PT XYZ              3171889            2936934
FA-067604/19/2000  PT AAA               261635             240032
FA-067704/19/2000  PT BBB             12111191           11111184
FA-067804/20/2000  PT ABC             22207215           20006500
FA-067904/20/2000  PT ZZZ             20992596           19437588
FA-068004/22/2000  PT BBB             24536497           21336084
FA-068104/22/2000  PT AAA             20037125           18382683
FA-068204/23/2000  PT BBB             47676663           42951948
FA-068304/23/2000  PT BBB             41192990           36453973
FA-068404/23/2000  PT BBB             39616368           36014880
FA-068504/23/2000  PT BBB             14045357           12320488
FA-068604/24/2000  PT BBB              6421447            5945784
FA-068704/25/2000  PT BBB             15441978           13665467
FA-068804/25/2000  PT ZZZ             26328163           23507288
FA-068904/25/2000  PT DEF              4586537            4246793
FA-069004/26/2000  PT BBB              7672839            7104480
FA-069104/28/2000  PT ZZZ             35615825           32977615
FA-069204/28/2000  PT ABC              6320849            5593671
FA-069304/29/2000  PT AAA              6493483            5696037
FA-069405/01/2000  PT ABC             21037830           19125300
FA-069505/02/2000  PT BBB              9853637            8720032
FA-069605/03/2000  PT ZZZ              7504676            6700603
FA-069705/03/2000  PT XYZ             12683660           11426720
FA-069805/04/2000  PT ZZZ             43204943           37899072
FA-069905/06/2000  PT DEF              4355630            3820728
FA-070005/08/2000  PT ABC              5167578            4655475
FA-070105/09/2000  PT DEF             26882094           24438267
FA-070205/09/2000  PT ABC              9540120            8672836
FA-070305/09/2000  PT XYZ             44208418           40933720
FA-070405/09/2000  PT ZZZ             24486650           22464816
FA-070505/10/2000  PT BBB             28651335           25132750
FA-070605/12/2000  PT BBB             10308428            9042480
FA-070705/12/2000  PT BBB              2481640            2256036
FA-070805/14/2000  PT BBB              9569889            8468928
FA-070905/14/2000  PT XYZ             31400083           27304420
FA-071005/16/2000  PT ABC              3901210            3546554
FA-071105/18/2000  PT BBB             21581517           19442808
FA-071205/19/2000  PT BBB             13490696           12376785
FA-071305/20/2000  PT XYZ              2287098            2060448
FA-071405/21/2000  PT ZZZ             20522678           18656980
FA-071505/22/2000  PT BBB              4233982            3920353
FA-071605/23/2000  PT ABC             12427609           11297826
FA-071705/25/2000  PT XYZ             36542207           31775832
FA-071805/27/2000  PT BBB             27826944           24625614
FA-071905/27/2000  PT ABC             48785444           43558432
FA-072005/27/2000  PT ABC             16455796           15097060
FA-072105/29/2000  PT AAA             14512148           12729954
FA-072205/30/2000  PT ZZZ              3046950            2745000
FA-072305/31/2000  PT BBB              5567482            4970966
FA-072405/31/2000  PT XYZ              6010330            5892480
FA-072505/31/2000  PT BBB             36756465           35685888
FA-072605/31/2000  PT BBB              4111585            4030965
FA-072705/31/2000  PT BBB              3253659            3098722
FA-072806/01/2000  PT DEF             34895878           33553728
FA-072906/01/2000  PT DEF             16263915           15945014
FA-073006/03/2000  PT AAA              1948823            1910610
FA-073106/04/2000  PT BBB              4414739            4286154
FA-073206/04/2000  PT AAA             12794880           12185600
FA-073306/06/2000  PT XYZ             29957521           28530972
FA-073406/08/2000  PT ABC             27910966           27098025
FA-073506/08/2000  PT BBB             24794458           24072289
FA-073606/08/2000  PT ABC             30870753           30565101
FA-073706/10/2000  PT XYZ             10286530            9986922
FA-073806/12/2000  PT BBB             43529064           43098083
FA-073906/14/2000  PT ZZZ             34042407           33050880
FA-074006/14/2000  PT XYZ             36119041           35410824
FA-074106/14/2000  PT BBB             25697299           25193430
FA-074206/16/2000  PT BBB              1170502            1158912
FA-074306/17/2000  PT DEF              2801012            2719429
FA-074406/18/2000  PT BBB             36451128           34715360
FA-074506/19/2000  PT BBB              9280291            9188406
FA-074606/21/2000  PT DEF             10472731           10369040
FA-074706/22/2000  PT ABC             14475401           14332080
FA-074806/22/2000  PT DEF             24657104           23482956
FA-074906/24/2000  PT ZZZ             31370961           30755844
FA-075006/24/2000  PT BBB               485710             471563
FA-075106/25/2000  PT BBB              9405511            9043760
FA-075206/27/2000  PT BBB             19797632           19601615
FA-075306/29/2000  PT ABC             39875514           37976680
