NoBukti	Tgl	Customer	 Penjualan 	 COGS 
FA-0370	6/1/1999	PT DEF	" 50,471,123 "	" 49,649,989 "
FA-0371	6/1/1999	PT BBB	" 31,628,175 "	" 31,315,024 "
FA-0372	6/1/1999	PT BBB	" 42,505,853 "	" 41,637,740 "
FA-0373	6/1/1999	PT BBB	" 47,227,867 "	" 46,545,694 "
FA-0374	6/1/1999	PT BBB	" 37,570,517 "	" 36,885,955 "
FA-0375	6/3/1999	PT ZZZ	" 27,913,167 "	" 27,226,216 "
FA-0376	6/5/1999	PT ABC	" 18,255,817 "	" 17,566,477 "
FA-0377	6/5/1999	PT DEF	" 20,598,467 "	" 19,906,738 "
FA-0378	6/6/1999	PT ZZZ	" 22,941,117 "	" 22,246,999 "
FA-0379	6/8/1999	PT ABC	" 25,283,767 "	" 24,587,260 "
FA-0380	6/8/1999	PT ABC	" 27,626,417 "	" 26,927,521 "
FA-0381	6/8/1999	PT BBB	" 29,969,067 "	" 29,267,782 "
FA-0382	6/10/1999	PT ABC	" 32,311,717 "	" 31,608,043 "
FA-0383	6/11/1999	PT ZZZ	" 34,654,367 "	" 33,948,304 "
FA-0384	6/12/1999	PT ZZZ	" 36,997,017 "	" 36,288,565 "
FA-0385	6/12/1999	PT AAA	" 39,339,667 "	" 38,628,826 "
FA-0386	6/12/1999	PT ZZZ	" 41,682,317 "	" 40,969,087 "
FA-0387	6/14/1999	PT XYZ	" 48,031,393 "	" 46,309,348 "
FA-0388	6/16/1999	PT BBB	" 42,188,004 "	" 41,649,609 "
FA-0389	6/17/1999	PT AAA	" 36,344,615 "	" 35,613,919 "
FA-0390	6/19/1999	PT AAA	" 30,501,226 "	" 30,123,699 "
FA-0391	6/19/1999	PT DEF	" 24,657,837 "	" 23,933,479 "
FA-0392	6/21/1999	PT ABC	" 18,814,448 "	" 18,800,000 "
FA-0393	6/22/1999	PT DEF	" 12,971,059 "	" 12,900,000 "
FA-0394	6/24/1999	PT AAA	" 21,874,362 "	" 21,633,040 "
FA-0395	6/25/1999	PT ZZZ	" 48,937,478 "	" 48,593,728 "
FA-0396	6/26/1999	PT AAA	" 43,289,846 "	" 43,323,076 "
FA-0397	6/27/1999	PT BBB	" 45,870,497 "	" 45,590,949 "
FA-0398	6/29/1999	PT XYZ	" 44,763,071 "	" 43,064,664 "
FA-0399	7/1/1999	PT XYZ	" 34,829,040 "	" 32,550,504 "
FA-0400	7/2/1999	PT BBB	" 31,974,693 "	" 31,763,118 "
FA-0401	7/3/1999	PT DEF	" 14,408,167 "	" 13,592,610 "
FA-0402	7/4/1999	PT DEF	" 12,060,101 "	" 11,064,312 "
FA-0403	7/5/1999	PT BBB	" 34,122,203 "	" 31,594,632 "
FA-0404	7/7/1999	PT BBB	" 2,875,692 "	" 2,738,754 "
FA-0405	7/7/1999	PT DEF	" 30,961,759 "	" 29,209,206 "
FA-0406	7/8/1999	PT DEF	" 22,640,265 "	" 20,035,632 "
FA-0407	7/9/1999	PT BBB	" 13,797,789 "	" 12,543,444 "
FA-0408	7/9/1999	PT XYZ	" 28,527,300 "	" 26,414,166 "
FA-0409	7/11/1999	PT AAA	" 21,207,526 "	" 20,007,100 "
FA-0410	7/11/1999	PT ABC	" 6,968,254 "	" 6,166,596 "
FA-0411	7/13/1999	PT AAA	" 20,753,626 "	" 18,696,960 "
FA-0412	7/15/1999	PT BBB	" 16,693,688 "	" 15,898,750 "
FA-0413	7/15/1999	PT BBB	" 31,382,852 "	" 27,772,435 "
FA-0414	7/17/1999	PT ABC	" 18,284,448 "	" 16,325,400 "
FA-0415	7/18/1999	PT ABC	" 1,263,231 "	" 1,098,461 "
FA-0416	7/20/1999	PT XYZ	" 29,324,680 "	" 26,658,800 "
FA-0417	7/21/1999	PT DEF	" 36,891,981 "	" 33,538,164 "
FA-0418	7/23/1999	PT XYZ	" 9,479,352 "	" 8,539,956 "
FA-0419	7/25/1999	PT ABC	" 24,072,792 "	" 21,116,484 "
FA-0420	7/25/1999	PT ZZZ	" 7,036,876 "	" 6,172,698 "
FA-0421	7/26/1999	PT ZZZ	" 4,710,555 "	" 4,486,242 "
FA-0422	7/28/1999	PT XYZ	" 11,535,502 "	" 10,299,555 "
FA-0423	7/28/1999	PT AAA	" 7,045,185 "	" 6,126,247 "
FA-0424	7/29/1999	PT ABC	" 3,506,961 "	" 3,277,533 "
FA-0425	7/31/1999	PT ZZZ	" 12,030,876 "	" 10,937,160 "
FA-0426	8/2/1999	PT DEF	" 5,699,418 "	" 4,956,015 "
FA-0427	8/2/1999	PT BBB	" 24,588,896 "	" 21,381,648 "
FA-0428	8/4/1999	PT DEF	" 7,460,162 "	" 7,037,888 "
FA-0429	8/4/1999	PT BBB	" 17,244,015 "	" 15,966,680 "
FA-0430	8/5/1999	PT ZZZ	" 458,538 "	" 416,852 "
FA-0431	8/5/1999	PT XYZ	" 8,681,242 "	" 8,113,310 "
FA-0432	8/6/1999	PT XYZ	" 1,785,398 "	" 1,668,596 "
FA-0433	8/7/1999	PT AAA	" 12,901,665 "	" 11,317,250 "
FA-0434	8/8/1999	PT BBB	" 4,705,647 "	" 4,127,760 "
FA-0435	8/9/1999	PT AAA	" 4,765,314 "	" 4,254,744 "
FA-0436	8/11/1999	PT BBB	" 4,543,129 "	" 4,168,008 "
FA-0437	8/12/1999	PT XYZ	" 14,105,768 "	" 13,182,960 "
FA-0438	8/14/1999	PT ZZZ	" 37,299,963 "	" 33,909,057 "
FA-0439	8/15/1999	PT DEF	" 6,669,690 "	" 6,063,354 "
FA-0440	8/15/1999	PT DEF	" 19,375,815 "	" 16,848,534 "
FA-0441	8/17/1999	PT ABC	" 18,168,740 "	" 17,140,320 "
FA-0442	8/17/1999	PT DEF	" 11,859,486 "	" 10,312,596 "
FA-0443	8/19/1999	PT ZZZ	" 3,627,924 "	" 3,210,552 "
FA-0444	8/20/1999	PT ABC	" 5,189,131 "	" 4,760,670 "
FA-0445	8/22/1999	PT AAA	" 17,346,857 "	" 16,364,959 "
FA-0446	8/24/1999	PT BBB	" 11,232,057 "	" 10,118,970 "
FA-0447	8/26/1999	PT XYZ	" 14,629,613 "	" 13,299,648 "
FA-0448	8/27/1999	PT XYZ	" 4,626,637 "	" 4,023,162 "
FA-0449	8/29/1999	PT AAA	" 50,861,913 "	" 47,094,363 "
FA-0450	8/31/1999	PT BBB	" 6,140,731 "	" 5,434,275 "
FA-0451	9/2/1999	PT XYZ	" 21,295,160 "	" 20,089,773 "
FA-0452	9/3/1999	PT XYZ	" 2,373,670 "	" 2,082,160 "
FA-0453	9/5/1999	PT ZZZ	" 51,974,798 "	" 45,195,476 "
FA-0454	9/6/1999	PT BBB	" 3,036,459 "	" 2,760,417 "
FA-0455	9/8/1999	PT DEF	" 14,453,900 "	" 12,568,608 "
FA-0456	9/9/1999	PT DEF	" 4,921,686 "	" 4,643,100 "
FA-0457	9/11/1999	PT BBB	" 6,432,801 "	" 6,126,477 "
FA-0458	9/13/1999	PT ZZZ	" 7,943,916 "	" 7,609,854 "
FA-0459	9/15/1999	PT BBB	" 26,541,831 "	" 25,039,463 "
FA-0460	9/15/1999	PT BBB	" 35,947,128 "	" 32,384,800 "
FA-0461	9/16/1999	PT XYZ	" 14,656,397 "	" 13,446,235 "
FA-0462	9/17/1999	PT AAA	" 1,850,449 "	" 1,682,226 "
FA-0463	9/18/1999	PT BBB	" 8,713,039 "	" 7,579,314 "
FA-0464	9/19/1999	PT BBB	" 2,696,978 "	" 2,386,706 "
FA-0465	9/19/1999	PT BBB	" 7,434,321 "	" 6,947,963 "
FA-0466	9/19/1999	PT AAA	" 14,717,585 "	" 13,754,752 "
FA-0467	9/21/1999	PT BBB	" 4,850,136 "	" 4,575,600 "
FA-0468	9/22/1999	PT AAA	" 7,380,563 "	" 6,649,155 "
FA-0469	9/24/1999	PT AAA	" 2,279,869 "	" 2,150,819 "
FA-0470	9/25/1999	PT XYZ	" 22,053,383 "	" 19,690,520 "
FA-0471	9/27/1999	PT BBB	" 25,183,091 "	" 23,289,644 "
FA-0472	9/28/1999	PT ZZZ	" 4,914,421 "	" 4,592,916 "
FA-0473	9/30/1999	PT BBB	" 3,611,272 "	" 3,224,350 "
FA-0474	10/2/1999	PT BBB	" 5,949,206 "	" 5,359,645 "
FA-0475	10/4/1999	PT ABC	" 6,435,721 "	" 6,014,692 "
FA-0476	10/6/1999	PT ZZZ	" 17,762,922 "	" 11,532,975 "
FA-0477	10/7/1999	PT BBB	" 5,080,874 "	" 4,456,907 "
FA-0478	10/7/1999	PT XYZ	" 8,156,967 "	" 7,155,234 "
FA-0479	10/9/1999	PT BBB	" 19,163,134 "	" 16,038,512 "
FA-0480	10/11/1999	PT BBB	" 19,902,488 "	" 18,478,560 "
FA-0481	10/11/1999	PT AAA	" 13,449,240 "	" 12,008,250 "
FA-0482	10/13/1999	PT ABC	" 2,435,585 "	" 2,194,220 "
FA-0483	10/14/1999	PT AAA	" 11,935,287 "	" 10,469,550 "
FA-0484	10/14/1999	PT BBB	" 4,714,148 "	" 4,489,664 "
FA-0485	10/14/1999	PT ZZZ	" 13,379,048 "	" 10,874,150 "
FA-0486	10/14/1999	PT BBB	" 3,329,648 "	" 2,999,682 "
FA-0487	10/15/1999	PT BBB	" 17,465,617 "	" 13,883,145 "
FA-0488	10/16/1999	PT ZZZ	" 6,298,106 "	" 5,886,080 "
FA-0489	10/18/1999	PT BBB	" 12,053,472 "	" 11,371,200 "
FA-0490	10/20/1999	PT DEF	" 17,748,975 "	" 14,775,870 "
FA-0491	10/22/1999	PT XYZ	" 8,806,774 "	" 7,725,240 "
FA-0492	10/24/1999	PT BBB	" 20,523,143 "	" 19,545,850 "
FA-0493	10/25/1999	PT AAA	" 20,053,204 "	" 18,741,312 "
FA-0494	10/27/1999	PT AAA	" 8,843,356 "	" 8,113,170 "
FA-0495	10/29/1999	PT XYZ	" 11,571,639 "	" 10,916,640 "
FA-0496	10/29/1999	PT BBB	" 18,099,405 "	" 15,779,270 "
FA-0497	10/29/1999	PT AAA	" 12,166,161 "	" 11,060,146 "
FA-0498	10/30/1999	PT ABC	" 11,386,520 "	" 10,166,535 "
FA-0499	10/31/1999	PT AAA	" 7,712,219 "	" 7,011,108 "
FA-0500	10/31/1999	PT BBB	" 17,733,643 "	" 16,729,851 "
FA-0501	11/2/1999	PT ABC	" 27,151,683 "	" 24,028,038 "
FA-0502	11/2/1999	PT DEF	" 29,541,778 "	" 28,135,026 "
FA-0503	11/3/1999	PT ABC	" 12,627,606 "	" 11,912,835 "
FA-0504	11/4/1999	PT ZZZ	" 20,700,124 "	" 19,528,418 "
FA-0505	11/4/1999	PT BBB	" 15,366,472 "	" 13,720,064 "
FA-0506	11/6/1999	PT ABC	" 37,681,347 "	" 32,766,388 "
FA-0507	11/6/1999	PT BBB	" 45,544,985 "	" 42,565,406 "
FA-0508	11/8/1999	PT ZZZ	" 2,025,441 "	" 1,858,202 "
FA-0509	11/10/1999	PT DEF	" 43,171,296 "	" 39,606,693 "
FA-0510	11/12/1999	PT XYZ	" 19,661,057 "	" 17,096,571 "
FA-0511	11/14/1999	PT ABC	" 11,186,804 "	" 11,109,162 "
FA-0512	11/14/1999	PT DEF	" 11,533,633 "	" 11,407,002 "
FA-0513	11/16/1999	PT ZZZ	" 34,215,172 "	" 32,278,464 "
FA-0514	11/18/1999	PT ZZZ	" 21,000,000 "	" 20,000,000 "
FA-0515	11/18/1999	PT AAA	" 14,284,731 "	" 13,868,670 "
FA-0516	11/18/1999	PT ABC	" 11,012,654 "	" 10,123,892 "
FA-0517	11/19/1999	PT ZZZ	" 9,537,858 "	" 9,448,880 "
FA-0518	11/19/1999	PT BBB	" 23,050,978 "	" 22,330,745 "
FA-0519	11/19/1999	PT AAA	" 11,882,381 "	" 10,901,394 "
FA-0520	11/19/1999	PT DEF	" 19,124,578 "	" 19,004,768 "
FA-0521	11/19/1999	PT ZZZ	" 22,544,174 "	" 22,241,416 "
FA-0522	11/20/1999	PT ABC	" 11,726,761 "	" 11,519,565 "
FA-0523	11/20/1999	PT BBB	" 26,039,835 "	" 24,799,842 "
FA-0524	11/20/1999	PT DEF	" 25,291,200 "	" 25,111,600 "
FA-0525	11/21/1999	PT DEF	" 15,260,835 "	" 15,032,819 "
FA-0526	11/21/1999	PT BBB	" 33,019,821 "	" 33,012,575 "
FA-0527	11/21/1999	PT DEF	" 50,100,000 "	" 50,000,000 "
FA-0528	11/23/1999	PT AAA	" 60,043,591 "	" 59,449,100 "
FA-0529	11/24/1999	PT AAA	" 58,083,080 "	" 57,508,000 "
FA-0530	11/24/1999	PT ZZZ	" 33,133,252 "	" 32,805,200 "
FA-0531	11/24/1999	PT ABC	" 14,104,246 "	" 13,964,600 "
FA-0532	11/25/1999	PT ABC	" 20,154,348 "	" 19,954,800 "
FA-0533	11/27/1999	PT ABC	" 25,683,997 "	" 25,429,700 "
FA-0534	11/28/1999	PT XYZ	" 27,758,787 "	" 26,508,700 "
FA-0535	11/29/1999	PT ZZZ	" 15,455,323 "	" 15,302,300 "
FA-0536	11/29/1999	PT ABC	" 24,784,794 "	" 24,539,400 "
FA-0537	11/29/1999	PT XYZ	" 63,095,306 "	" 62,470,600 "
FA-0538	11/30/1999	PT AAA	" 73,431,999 "	" 72,209,900 "
FA-0539	12/2/1999	PT DEF	" 28,647,741 "	" 28,364,100 "
FA-0540	12/2/1999	PT ZZZ	" 52,101,202 "	" 51,100,200 "
FA-0541	12/4/1999	PT ABC	" 25,000,000 "	" 24,600,000 "
FA-0542	12/4/1999	PT ZZZ	" 28,210,714 "	" 27,931,400 "
FA-0543	12/6/1999	PT AAA	" 37,162,112 "	" 37,091,200 "
FA-0544	12/8/1999	PT AAA	" 39,972,466 "	" 38,586,600 "
FA-0545	12/9/1999	PT XYZ	" 67,387,099 "	" 66,719,900 "
FA-0546	12/9/1999	PT XYZ	" 16,133,894 "	" 16,032,880 "
FA-0547	12/9/1999	PT BBB	" 47,942,976 "	" 46,815,600 "
FA-0548	12/10/1999	PT XYZ	" 54,609,000 "	" 54,500,000 "
FA-0549	12/12/1999	PT BBB	" 55,110,000 "	" 55,000,000 "
FA-0550	12/13/1999	PT BBB	" 55,611,000 "	" 55,200,000 "
FA-0551	12/13/1999	PT BBB	" 56,112,000 "	" 55,500,000 "
FA-0552	12/13/1999	PT DEF	" 56,613,000 "	" 56,200,000 "
FA-0553	12/13/1999	PT ABC	" 44,659,352 "	" 44,567,992 "
FA-0554	12/15/1999	PT BBB	" 36,534,024 "	" 36,102,200 "
FA-0555	12/15/1999	PT DEF	" 28,408,696 "	" 27,636,408 "
FA-0556	12/16/1999	PT AAA	" 20,283,368 "	" 19,970,616 "
FA-0557	12/16/1999	PT AAA	" 51,635,763 "	" 50,157,336 "
